Date and time,T_Bath (degC),T_Bed1 (degC),T_Bed2 (degC),El_use (W),T_Extension (degC),T_External (degC),Gas (W),T_Kitchen (degC),T_Living (degC),Solar (W/m2),T_Store (degC),T_Thermostat (degC),T_Average (degC),P_tot (W)
11/11/2016 00:00,19.9,17,17.2,528,15.4,5,6817.6,19.3,18.5,0,13.1,16,17.457,7345.6
11/11/2016 00:10,20,17.1,17.1,288,15.3,5.2,4090.56,19.2,18.5,0,13.2,16.1,17.484,4378.56
11/11/2016 00:20,20,17.1,17.2,354,15.4,5.2,681.76,19.2,18.5,0,13.2,16,17.48,1035.76
11/11/2016 00:30,20,17.2,17.3,222,15.4,5.2,7499.36,19.2,18.5,0,13.2,16,17.513,7721.36
11/11/2016 00:40,20.1,17.3,17.4,396,15.4,5.1,0,19.1,18.5,0,13.2,16.1,17.563,396
11/11/2016 00:50,20.2,17.3,17.4,264,15.1,4.7,5454.08,19,18.5,0,13.2,16.1,17.546,5718.08
11/11/2016 01:00,20.2,17.4,17.5,264,14.9,4.7,0,18.9,18.5,0,13.2,16.1,17.56,264
11/11/2016 01:10,20.3,17.4,17.5,348,14.7,4.4,6135.84,18.8,18.6,0,13.2,16.2,17.592,6483.84
11/11/2016 01:20,20.3,17.5,17.6,294,14.4,4.1,0,18.7,18.6,0,13.2,16.2,17.601,294
11/11/2016 01:30,20.4,17.6,17.7,264,14.2,4.1,6817.6,18.6,18.6,0,13.2,16.2,17.622,7081.6
11/11/2016 01:40,20.5,17.6,17.7,276,14,4.1,2727.04,18.5,18.7,0,13.3,16.2,17.637,3003.04
11/11/2016 01:50,20.5,17.7,17.8,372,14.3,3.5,2727.04,18.5,18.7,0,13.3,16.2,17.685,3099.04
11/11/2016 02:00,20.5,17.7,17.8,312,14.2,3.5,3408.8,18.4,18.8,0,13.3,16.2,17.696,3720.8
11/11/2016 02:10,20.6,17.8,18,156,14,3.5,2727.04,18.3,18.8,0,13.3,16.2,17.727,2883.04
11/11/2016 02:20,20.6,17.8,18,384,13.9,3.2,5454.08,18.2,18.9,0,13.3,16.3,17.757,5838.08
11/11/2016 02:30,20.7,17.9,18,366,13.7,3.2,0,18.2,18.9,0,13.3,16.4,17.796,366
11/11/2016 02:40,20.8,18,18.1,294,13.6,2.9,4772.32,18.1,18.9,0,13.3,16.4,17.822,5066.32
11/11/2016 02:50,20.8,18,18.2,234,13.7,2.7,4090.56,18,19,0,13.3,16.4,17.853,4324.56
11/11/2016 03:00,20.9,18.1,18.3,276,13.6,2.7,2727.04,18,19,0,13.4,16.4,17.89,3003.04
11/11/2016 03:10,20.9,18.2,18.3,324,13.4,2.6,3408.8,17.9,19.1,0,13.4,16.4,17.919,3732.8
11/11/2016 03:20,21,18.2,18.3,270,13.3,2.6,4090.56,17.9,19.1,0,13.4,16.5,17.94,4360.56
11/11/2016 03:30,21,18.3,18.4,270,13.2,2.4,0,17.9,19.1,0,13.4,16.5,17.968,270
11/11/2016 03:40,21,18.3,18.5,294,13.4,2.2,4772.32,17.8,19.1,0,13.4,16.5,17.979,5066.32
11/11/2016 03:50,21.1,18.4,18.5,276,13.3,2,3408.8,17.8,19.2,0,13.4,16.5,18.029,3684.8
11/11/2016 04:00,21.1,18.4,18.6,264,13.2,2,3408.8,17.8,19.2,0,13.4,16.6,18.053,3672.8
11/11/2016 04:10,21.2,18.5,18.6,342,13,2.3,4090.56,17.9,19.2,0,13.5,16.6,18.084,4432.56
11/11/2016 04:20,21.2,18.5,18.6,288,12.9,2.4,2045.28,18,19.2,0,13.5,16.7,18.107,2333.28
