Date and time,T_Bath (degC),T_Bed1 (degC),T_Bed2 (degC),El_use (W),T_External (degC),Gas (W),T_Kitchen (degC),T_Living (degC),Solar (W/m2),T_Store (degC),T_Thermostat (degC),T_Average (degC),P_tot (W)
11/11/2016 0:00,19.9,17,17.2,528,5,6817.6,19.3,18.5,0,13.1,16,17.457,7345.6
11/11/2016 0:10,20,17.1,17.1,288,5.2,4090.56,19.2,18.5,0,13.2,16.1,17.484,4378.56
11/11/2016 0:20,20,17.1,17.2,354,5.2,681.76,19.2,18.5,0,13.2,16,17.48,1035.76
11/11/2016 0:30,20,17.2,17.3,222,5.2,7499.36,19.2,18.5,0,13.2,16,17.513,7721.36
11/11/2016 0:40,20.1,17.3,17.4,396,5.1,0,19.1,18.5,0,13.2,16.1,17.563,396
11/11/2016 0:50,20.2,17.3,17.4,264,4.7,5454.08,19,18.5,0,13.2,16.1,17.546,5718.08
11/11/2016 1:00,20.2,17.4,17.5,264,4.7,0,18.9,18.5,0,13.2,16.1,17.56,264
11/11/2016 1:10,20.3,17.4,17.5,348,4.4,6135.84,18.8,18.6,0,13.2,16.2,17.592,6483.84
11/11/2016 1:20,20.3,17.5,17.6,294,4.1,0,18.7,18.6,0,13.2,16.2,17.601,294
11/11/2016 1:30,20.4,17.6,17.7,264,4.1,6817.6,18.6,18.6,0,13.2,16.2,17.622,7081.6
11/11/2016 1:40,20.5,17.6,17.7,276,4.1,2727.04,18.5,18.7,0,13.3,16.2,17.637,3003.04
11/11/2016 1:50,20.5,17.7,17.8,372,3.5,2727.04,18.5,18.7,0,13.3,16.2,17.685,3099.04
11/11/2016 2:00,20.5,17.7,17.8,312,3.5,3408.8,18.4,18.8,0,13.3,16.2,17.696,3720.8
11/11/2016 2:10,20.6,17.8,18,156,3.5,2727.04,18.3,18.8,0,13.3,16.2,17.727,2883.04
11/11/2016 2:20,20.6,17.8,18,384,3.2,5454.08,18.2,18.9,0,13.3,16.3,17.757,5838.08
11/11/2016 2:30,20.7,17.9,18,366,3.2,0,18.2,18.9,0,13.3,16.4,17.796,366
11/11/2016 2:40,20.8,18,18.1,294,2.9,4772.32,18.1,18.9,0,13.3,16.4,17.822,5066.32
11/11/2016 2:50,20.8,18,18.2,234,2.7,4090.56,18,19,0,13.3,16.4,17.853,4324.56
11/11/2016 3:00,20.9,18.1,18.3,276,2.7,2727.04,18,19,0,13.4,16.4,17.89,3003.04
11/11/2016 3:10,20.9,18.2,18.3,324,2.6,3408.8,17.9,19.1,0,13.4,16.4,17.919,3732.8
11/11/2016 3:20,21,18.2,18.3,270,2.6,4090.56,17.9,19.1,0,13.4,16.5,17.94,4360.56
11/11/2016 3:30,21,18.3,18.4,270,2.4,0,17.9,19.1,0,13.4,16.5,17.968,270
11/11/2016 3:40,21,18.3,18.5,294,2.2,4772.32,17.8,19.1,0,13.4,16.5,17.979,5066.32
11/11/2016 3:50,21.1,18.4,18.5,276,2,3408.8,17.8,19.2,0,13.4,16.5,18.029,3684.8
11/11/2016 4:00,21.1,18.4,18.6,264,2,3408.8,17.8,19.2,0,13.4,16.6,18.053,3672.8
11/11/2016 4:10,21.2,18.5,18.6,342,2.3,4090.56,17.9,19.2,0,13.5,16.6,18.084,4432.56
11/11/2016 4:20,21.2,18.5,18.6,288,2.4,2045.28,18,19.2,0,13.5,16.7,18.107,2333.28
11/11/2016 4:30,21.3,18.5,18.7,282,2.4,4090.56,17.9,19.2,0,13.5,16.7,18.125,4372.56
11/11/2016 4:40,21.3,18.6,18.7,336,2.3,5454.08,18,19.2,0,13.5,16.7,18.162,5790.08
11/11/2016 4:50,21.3,18.7,18.8,204,2.3,1363.52,18.3,19.3,0,13.5,16.8,18.266,1567.52
11/11/2016 5:00,21.4,18.7,18.8,270,2.3,3408.8,18.6,19.3,0,13.5,16.9,18.309,3678.8
11/11/2016 5:10,21.4,18.7,18.8,294,2.3,4772.32,18.6,19.3,0,13.5,16.9,18.304,5066.32
11/11/2016 5:20,21.5,18.8,18.9,360,2.3,4090.56,18.8,19.4,0,13.6,17,18.398,4450.56
11/11/2016 5:30,21.5,18.9,19,222,2.2,2727.04,18.8,19.4,0,13.6,17,18.451,2949.04
11/11/2016 5:40,21.6,18.9,19,342,2.4,681.76,18.7,19.4,0,13.6,17,18.449,1023.76
11/11/2016 5:50,21.6,19,19,288,2.4,6817.6,18.6,19.5,0,13.6,17.1,18.497,7105.6
11/11/2016 6:00,21.7,19,19.1,276,2.5,681.76,18.7,19.5,0,13.6,17.1,18.518,957.76
11/11/2016 6:10,21.7,19,19.2,324,2.6,4772.32,19,19.5,0,13.7,17.2,18.591,5096.32
11/11/2016 6:20,21.8,19.1,19.2,300,2.6,4090.56,19.1,19.5,0,13.7,17.2,18.645,4390.56
11/11/2016 6:30,21.8,19.1,19.2,198,2.8,1363.52,19,19.6,0,13.7,17.2,18.9389,1561.52
11/11/2016 6:40,21.8,19.2,19.2,366,3,4090.56,18.9,19.5,0,13.7,,,4456.56
11/11/2016 6:50,21.9,19.2,19.3,294,3,3408.8,18.8,19.5,0,13.7,17.2,18.683,3702.8
11/11/2016 7:00,21.9,19.3,19.3,270,3.2,3408.8,18.9,19.6,0,13.7,17.3,18.764,3678.8
11/11/2016 7:10,21.9,19.3,19.3,318,3.2,5454.08,19.1,19.6,0,13.7,17.3,18.787,5772.08
11/11/2016 7:20,21.9,19.4,19.4,180,,0,19.2,19.6,0,13.8,17.4,18.855,180
11/11/2016 7:30,21.9,19.4,19.4,360,2.9,4772.32,19.2,19.6,0,13.8,17.4,18.855,5132.32
11/11/2016 7:40,22,19.4,19.4,264,2.9,3408.8,19.1,19.6,0,13.8,17.4,18.858,3672.8
11/11/2016 7:50,22,19.5,19.5,348,2.8,2727.04,19.1,19.6,0,13.8,17.4,18.896,3075.04
11/11/2016 8:00,22,19.5,19.5,270,2.8,5454.08,19.2,19.6,0,13.8,17.5,18.924,5724.08
11/11/2016 8:10,22.1,19.5,19.6,276,2.2,0,19.3,19.7,0,13.8,17.5,18.975,276
11/11/2016 8:20,22.1,19.6,19.6,252,2.2,5454.08,19.3,19.7,0,13.9,17.5,19,5706.08
11/11/2016 8:30,22.1,19.6,19.6,240,2,3408.8,19.3,19.7,6.8,13.9,17.5,19,3648.8
11/11/2016 8:40,22.1,19.6,19.6,324,1.5,2045.28,19.3,19.7,24.9,13.9,17.5,19,2369.28
11/11/2016 8:50,22.1,19.7,19.7,360,1.5,5454.08,19.4,19.7,34.3,13.9,17.6,19.061,5814.08
11/11/2016 9:00,22.2,19.7,19.7,360,1.3,2727.04,19.4,19.8,61.7,13.9,17.7,19.122,3087.04
11/11/2016 9:10,22.2,19.9,19.9,2874,1.2,4772.32,19.7,20,81.5,13.4,17.8,19.274,7646.32
11/11/2016 9:20,22,19.9,19.7,1698,1.2,4772.32,19.6,20.3,101.7,13.6,18,19.338,6470.32
11/11/2016 9:30,21.9,19.9,19.6,1578,1.1,0,19.6,20.4,120.4,13.7,18.1,19.357,1578
11/11/2016 9:40,21.9,19.9,19.4,1260,1.4,3408.8,19.5,20.4,134.4,14,18,19.3,4668.8
11/11/2016 9:50,21.8,20,19.2,1272,1.4,4772.32,19.4,20.5,151,14.5,18.1,19.331,6044.32
11/11/2016 10:00,21.8,19.9,19.1,1128,2,0,19.4,20.6,160.8,15,18.1,19.323,1128
11/11/2016 10:10,21.8,20,19.1,2898,2,5454.08,19.4,20.6,160.3,15.2,18.1,19.37,8352.08
11/11/2016 10:20,21.8,19.9,19,2838,2.9,0,19.3,20.5,203.9,15.5,18.2,19.358,2838
11/11/2016 10:30,21.8,19.9,19,1872,2.9,0,19.3,20.5,223.6,15.9,18.1,19.342,1872
11/11/2016 10:40,21.8,19.8,18.8,3330,3.5,5454.08,19.3,20.3,234.5,16.4,18.1,19.249,8784.08
11/11/2016 10:50,21.9,19.9,18.8,1884,3.5,0,19.4,20.2,257.9,16.5,18.2,19.274,1884
11/11/2016 11:00,21.9,19.9,18.8,1146,4.1,3408.8,19.4,20.2,250.6,16.8,18.2,19.29,4554.8
11/11/2016 11:10,21.9,19.8,18.7,1074,4.7,0,19.4,20.1,276.5,16.9,18.2,19.239,1074
11/11/2016 11:20,21.9,19.8,18.7,726,4.7,2045.28,19.4,20.1,277.6,17,18.2,19.231,2771.28
11/11/2016 11:30,21.8,19.7,18.7,582,5.1,0,19.2,20.2,277.6,16.6,18.2,19.19,582
11/11/2016 11:40,21.9,19.7,18.6,348,5.5,4090.56,19.2,20.1,286.4,16.2,18.1,19.135,4438.56
11/11/2016 11:50,21.9,19.7,18.6,522,5.5,0,19.1,20.2,280.7,16,18.1,19.177,522
11/11/2016 12:00,21.8,19.7,18.9,516,5.8,9544.64,19.4,20.1,273.9,15.5,18.2,19.206,10060.64
11/11/2016 12:10,21.8,19.8,19.2,372,6,0,19.7,20.2,253.2,15.3,18.3,19.316,372
11/11/2016 12:20,21.8,19.9,19.4,318,6,6817.6,19.9,20.4,309.7,15,18.4,19.43,7135.6
11/11/2016 12:30,21.7,20,19.5,438,6.2,4772.32,20,20.6,293.7,14.9,18.5,19.542,5210.32
11/11/2016 12:40,21.6,20,19.8,408,6.5,681.76,20.1,20.9,257.9,14.6,18.6,19.677,1089.76
11/11/2016 12:50,21.5,20.1,20,354,6.5,3408.8,20.2,21,263,14.5,18.7,19.759,3762.8
11/11/2016 13:00,21.4,20.1,20.2,354,6.6,4090.56,20.3,21.1,298.8,14.4,18.8,19.813,4444.56
11/11/2016 13:10,21.3,20.1,20.3,420,6.7,2045.28,20.4,21.2,300.9,14.2,18.9,19.865,2465.28
11/11/2016 13:20,21.4,20.2,20.5,312,6.7,4772.32,20.5,21.3,291.6,14.1,18.9,19.972,5084.32
