House_ID,Dwelling type,Attachment,Attachment 2,Total Floor Area (m2) - measured by TEST team (not Halton survey),Number of bedrooms,Tenancy commenced (keys handed to tenants),Self-reported permanent occupation date (from interview),Energy meter install date,Temp_RH sensors install date,Data recording started,Voluntary_withdrawal_date,Postcode area,Boiler make,Boiler model,Boiler model qualifier,Boiler_efficiency_SAP 2009/2012 annual,Boiler_efficiency_Winter seasonal,Boiler_efficiency_DHW,Distance from weather station [km] (direct path),Co-heating HTC,Co-heating CI Lower excluding uncertainty,Co-heating CI Upper excluding uncertainty,Co-heating CI Lower including seasonal uncertainty,Co-heating CI Upper including seasonal uncertainty,RdSAP score,RdSAP band,Fabric only SAP HTC (W/K),RdSAP HTC - Average (W/K),Commercial EPC rating,Commercial EPC band,Total window area (m2),"Front door orientation, degrees",Front door orientation based on satellite image,Party wall location,Estimated Age,External wall type,External wall insulation,Loft insulation material,Loft insulation thickness (mm),Loft insulation quality,Ground floor type,Floor insulation,Glazing,Number of permanent occupants,Number of adult male permanent occupants,Number of adult female permanent occupants,Number of children permanent occupants,Batteries_sensors_replaced1,Batteries_sensors_replaced2,Batteries_sensors_replaced3
HH01,House,Semi-detached,End terrace,70.47,2,27/01/2020,03/03/2020,22/01/2020,22/01/2020,03/03/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1.1,181,166,195,129,233,72,C,154.67,192.64,70,C,11.08,200,West,North,1980-1990,Cavity wall,Blown insulation,Mineral wool fibre,200,even cover,Solid concrete,None,Double glazing,2,,1,1,04/11/2020,,
HH02,Bungalow,Semi-detached,End terrace,37.98,1,06/05/2019,10/05/2019,05/12/2019,05/12/2019,21/02/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2,131,113,148,91,171,70,C,109.79,128.08,69,C,6.02,180,South,North,1950-1959,Cavity wall,Blown insulation,Mineral wool fibre,unknown,Not observed,Solid concrete,None,Double glazing,1,,1,,03/11/2020,,
HH03,House,Semi-detached,Semi-detached,64.33,2,20/05/2019,22/05/2019,05/12/2019,05/12/2019,08/03/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1,155,146,164,110,201,72,C,143.22,176.85,73,C,12.63,192,East,North,1960-1969,Cavity wall,Blown insulation,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,2,,1,1,30/09/2020,02/11/2020,
HH04 - pre 06/11/20,Bungalow,Semi-detached,End terrace,41.9,1,14/10/2019,19/10/2019,14/10/2019,14/10/2019,26/11/2019,,WA8,Vaillant,ecoMAX,824/2E,88.9,89.8,62.2,3.1,153,124,182,120,187,69,C,126.34,146.84,68,D,9.74,10,North,West,1958-1968,Cavity wall,Blown insulation,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,2,1,1,,05/10/2020,,
HH04 - post 06/11/20 (new boiler),,,,,,,,,,,,,Intergas,Combi Compact ECO RF 30,RF 30,88.8,86.7,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH05,House,Semi-detached,Semi-detached,65.7,3,14/10/2019,18/10/2019,14/10/2019,14/10/2019,26/11/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2.3,231,205,256,195,266,71,C,155.79,192.79,75,C,13.39,0,North,East,1927-1937,Cavity wall,Blown insulation,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,3,1,2,,15/10/2020,,
HH06,House,Semi-detached,Semi-detached,83.37,3,21/10/2019,26/10/2019,21/10/2019,21/10/2019,26/11/2019,,L24,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,4.3,212,188,236,179,246,64,D,288.82,334.48,63,D,13.28,120,East,North,1928-1954,Concrete frame,Unknown,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,3,1,2,,05/10/2020,16/1120,20/11/2020
HH07,Bungalow,Semi-detached,End terrace,43.18,1,21/10/2019,10/12/2019,21/10/2019,21/10/2019,26/11/2019,10/11/2020,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,0.4,166,106,225,104,228,69,C,123.13,143.93,69,C,7.85,100,North (via vestebule which faces East),North,1958-1969,Cavity wall,Blown insulation,Mineral wool fibre,300,even cover,Solid concrete,None,Double glazing,1,1,,,,,
HH08,House,Semi-detached,End terrace,80.46,3,28/10/2019,06/12/2019,28/10/2019,28/10/2019,26/11/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,3.1,213,190,237,179,247,70,C,186.65,229.8,71,C,13.24,0,North,East,1937-1958,Cavity wall,Blown insulation,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,3,,1,2,09/10/2020,09/11/2020,
HH09,Bungalow,Detached,Detached,39.72,1,28/10/2019,02/11/2019,28/10/2019,28/10/2019,26/11/2019,,WA7,Intergas,Combi Compact ECO RF 30,RF 30,88.8,86.7,76.8,5.2,172,160,184,148,196,66,D,143.16,165.32,68,D,7.51,240,West,Detached,1962-1977,Cavity wall,Blown insulation,Mineral wool fibre,100,"Disturbed, piled up",Suspended timber,None,Double glazing,1,,1,,02/11/2020,,
