,Elec kWh,Gas m3,backbed_hum,backbed_temp,bath_hum,bath_temp,frontbed_hum,frontbed_temp,hall_hum,hall_temp,kit_hum,kit_temp,liv_hum,liv_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
03/03/2020 00:00,0.062,0,60.8,10.34,,,,,,,62.7,10.47,,,236.3333333,2.433333333,0,4.333333333,73.66666667,989,
03/03/2020 00:30,0.062,0,60.7,10.27,,,,,,,62.3,10.48,,,214,1.933333333,0,3.666666667,76.33333333,989.6666667,
03/03/2020 01:00,0.062,0,60.7,10.2,,,,,,,62.1,10.49,62.4,9.83,218.6666667,1.533333333,0,3.266666667,77,990,0
03/03/2020 01:30,0.061,0,,,,,,,63.7,9.41,61.7,10.47,,,208.6666667,1.133333333,0,2.9,78,990,0
03/03/2020 02:00,0.034,0,60.7,10.04,,,,,,,,,62.4,9.79,231.6666667,1.8,0,2.866666667,77.66666667,989.6666667,0
03/03/2020 02:30,0.022,0,,,,,,,,,,,,,239.6666667,2.866666667,0,3.6,74.66666667,989,0
03/03/2020 03:00,0.023,0,60.6,9.89,,,57.3,8.97,63.3,9.3,62.4,9.74,62.6,9.75,239.6666667,3.3,0,3.966666667,74,990,0
03/03/2020 03:30,0.019,0,60.7,9.82,,,57.4,8.92,,,62.5,9.58,62.6,9.73,241,2.266666667,0,3.8,75.66666667,990,
03/03/2020 04:00,0.022,0,60.7,9.75,,,,,,,62.6,9.47,,,217.6666667,1.766666667,0,3.233333333,79,990,0
03/03/2020 04:30,0.054,0,,,,,,,63.4,9.15,62.9,9.46,62.7,9.69,216,1.2,0,3,80.66666667,990,0.3
03/03/2020 05:00,0.028,0,,,,,,,63.6,9.1,62.3,9.71,62.7,9.66,193,1.366666667,0,3.066666667,80.33333333,990,0.2
03/03/2020 05:30,0.022,0,60.8,9.6,,,58,8.74,63.7,9.05,,,,,224.6666667,1.6,0,3.2,81.33333333,990,0.6
