,Elec kWh,Gas m3,bath_hum,bath_temp,bed_hum,bed_temp,hall_hum,hall_temp,kit_hum,kit_temp,liv_hum,liv_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
05/03/2020 00:00,0.157,-0.001,38.95,24.23,39.43,24.93,38.3,25.1,37.68,24.76,38.88,25.24,42.66666667,1.2,0,3.4,84,1000,0
05/03/2020 00:30,0.163,0,40.52,24.03,38.82,24.98,38.55,25.27,37.96,24.79,39.49,25.38,123,0.533333333,0,2.633333333,85.33333333,999,0
05/03/2020 01:00,0.16,0,41.1,23.93,39.75,25.02,38.01,25.34,37.46,24.79,39.22,25.42,127,0.866666667,0,2.1,88.33333333,999,0
05/03/2020 01:30,0.159,0,41.1,23.86,39.94,25.1,38.07,25.45,37.64,24.82,37.39,25.47,42.66666667,1.2,0,2.066666667,89.33333333,999,0
05/03/2020 02:00,0.157,0,41.6,23.85,37.05,24.99,35.6,25.33,35.16,24.82,36.54,25.48,36.66666667,1.3,0,2.033333333,89.33333333,998,0
05/03/2020 02:30,0.163,0,38.635,24.075,37.8,25.03,36.21,25.33,35.4,24.84,37.16,25.56,68.66666667,1.666666667,0,2.5,88.66666667,998,0
05/03/2020 03:00,0.155,0,39.1,24.35,38.66,25.09,36.72,25.42,35.9,24.89,37.51,25.67,36.66666667,1.5,0,2.233333333,87.66666667,997,
05/03/2020 03:30,0.159,0,39.97,24.41,39.05,25.09,36.97,25.5,36.19,24.94,37.81,25.8,49,1.733333333,0,1.966666667,89,997,0
05/03/2020 04:00,0.161,0,40.46,24.13,39.55,25.09,36.55,25.78,36.37,24.97,37.79,25.78,66.33333333,1.733333333,0,1.7,88.66666667,997,0
05/03/2020 04:30,0.159,0,41.1,24.29,39.91,25.11,37.47,25.77,36.5,24.98,38.59,25.81,45,1.366666667,0,1.666666667,87.66666667,996,
05/03/2020 05:00,0.153,0,40.64,24.5,40.2,25.11,37.65,25.68,36.65,25.05,38.37,25.64,45.33333333,0.833333333,0,1.433333333,86.66666667,996,0
05/03/2020 05:30,0.075,0,40.9,24.22,40.34,24.92,37.48,25.74,36.59,24.8,40.23,24.47,39.66666667,1.233333333,0,1.533333333,84.33333333,996,0
05/03/2020 06:00,0.065,0,41.5,23.72,41.2,24.33,38.41,25.1,37.21,23.9,41.2,23.62,88.33333333,1.166666667,0,1.4,83.66666667,996,0
05/03/2020 06:30,0.064,0,42.1,23.32,41.8,23.86,39.03,24.44,37.97,23.2,42.1,23.09,56.33333333,1.4,0,1.266666667,84.33333333,995.6666667,0.8
05/03/2020 07:00,0.072,0,42.6,22.92,41.8,23.5,39.58,23.96,38.57,22.66,42.6,22.69,42.66666667,2.433333333,0,1.733333333,82.33333333,995.6666667,10.26666667
05/03/2020 07:30,0.064,0,43,22.6,42,23.18,40.03,23.6,38.88,22.25,43.1,22.4,53,1.933333333,0,1.9,81.33333333,996,42.9
05/03/2020 08:00,0.066,0,43.3,22.34,42.3,22.92,40.6,23.31,39.31,21.92,,,56.66666667,1.933333333,0,2.033333333,81,996,70.36666667
05/03/2020 08:30,0.071,0,43.6,22.13,42.5,22.7,40.7,23.07,39.61,21.71,43.2,22.14,52,3.366666667,0,2.366666667,80,996,165.8333333
05/03/2020 09:00,0.065,0,43.6,22.02,42.6,22.46,40.92,22.88,39.85,21.6,43.1,21.97,57,2.933333333,0,2.733333333,80.66666667,996,359.8333333
05/03/2020 09:30,0.066,0,41.5,22.16,38.785,22.13,38.9,22.73,39.33,21.63,39.14,21.6,53.33333333,3.166666667,0,3.333333333,80.66666667,996,403.3
05/03/2020 10:00,0.066,0,40.65,21.96,38.19,21.8,38.26,22.56,39.55,21.44,38.73,21.37,54.33333333,3.333333333,0,3.733333333,79.33333333,995.3333333,508.6
05/03/2020 10:30,0.069,0,39.98,21.89,37.21,21.55,37.62,22.36,39.74,21.3,36.75,21.11,50.66666667,3.433333333,0,4.8,74.33333333,995,844.4
05/03/2020 11:00,0.247,0,36.55,21.95,38.35,21.5,35.63,22.16,38.81,21.28,38.55,21.34,50,3.933333333,0,5.366666667,70.33333333,995,876.4333333
05/03/2020 11:30,0.112,0,37.77,22.23,38.53,21.45,37.03,22.4,39.08,21.41,38.37,21.39,47.66666667,3.666666667,0,5.766666667,68.66666667,995,785.1
05/03/2020 12:00,0.114,0,37.47,22.43,39.61,21.46,36.82,22.49,38.75,21.33,39.63,21.52,45,2.633333333,0,6.266666667,65,995,925.5
05/03/2020 12:30,0.113,0,37.97,22.6,40.02,21.49,37.82,22.58,39.71,21.32,40.03,21.56,56.33333333,2.733333333,0,6.833333333,60,994,570.3666667
05/03/2020 13:00,0.22,0,37.66,22.52,39.87,21.61,37.36,22.51,40.22,21.21,39.73,21.46,52,3.1,0,7.166666667,54.33333333,994,734.2
05/03/2020 13:30,0.1,0,38.35,22.44,37.55,21.74,38.77,22.35,38.8,21.14,37.58,21.31,45,3.6,0,7.6,52.33333333,994,816.5
05/03/2020 14:00,0.05,0,35.68,22.36,37.77,21.86,35.82,22.26,39.3,20.96,38.18,21.22,21.33333333,2.366666667,0,8.566666667,47.66666667,994,717.9666667
05/03/2020 14:30,0.063,0,36.52,22.19,37.65,22,36.71,22.21,40.36,20.81,38.8,21.11,51,2.3,0,8.5,43.66666667,994,282.6333333
05/03/2020 15:00,0.062,0,37.26,21.89,37.98,21.75,37.59,21.95,41.2,20.69,39.21,21.01,126.6666667,2.366666667,0,8.6,45,994,283.6666667
05/03/2020 15:30,0.155,0.22,38.65,21.47,36.22,22.54,38.57,21.74,41.6,20.72,48.8,18.69,30.33333333,2.433333333,0,8.2,44.66666667,993.6666667,74.7
05/03/2020 16:00,0.138,0.12,37.79,21.71,35.1,23.22,37.05,22.22,37.87,21.87,48.8,20.4,16,1.1,0,8.066666667,44,993,39.4
