,Elec kWh,Gas m3,bath_hum,bath_temp,frontbed_hum,frontbed_temp,hall_hum,hall_temp,kit_hum,kit_temp,liv_hum,liv_temp,masterbed_hum,masterbed_temp,smallbed_hum,smallbed_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
26/11/2019 00:00,,,,,,,57.7,22.34,,,39.11,23.3,,,59.6,21.86,162.6666667,2.033333333,0,10.6,87,993,0.6
26/11/2019 00:30,0.268,0.05,,,,,59.2,21.71,,,39.18,23.31,,,60.2,21.77,179,2.7,0,10.6,86,993,0.6
26/11/2019 01:00,0.09,0,,,,,59.6,21.23,,,39.2,23.33,,,61.7,21.45,184,2.866666667,0,10.5,85.33333333,993,0.6
26/11/2019 01:30,0.074,0,,,,,59.8,20.9,,,39.22,23.31,,,62.2,20.99,186.6666667,2.1,0,10.53333333,85,992.6666667,0.6
26/11/2019 02:00,0.061,0,,,,,59.8,20.67,,,39.28,23.3,,,62.8,20.79,173,1.966666667,0,10.5,84.66666667,992,0.6
26/11/2019 02:30,0.044,0,,,,,59.9,20.49,,,39.27,23.29,,,62.6,20.65,149,1.533333333,0,10.36666667,84.66666667,992,0.6
26/11/2019 03:00,0.045,0,,,,,59.9,20.33,,,39.31,23.25,,,62.7,20.6,148,1.666666667,0,10.16666667,84.33333333,991.6666667,0.6
26/11/2019 03:30,0.06,0,,,,,,,,,39.35,23.25,,,62.7,20.52,157.6666667,1.966666667,0,10.03333333,81.66666667,991,0.4
26/11/2019 04:00,0.05,0,,,,,59.9,20.19,,,39.36,23.22,,,62.7,20.38,180,2.766666667,0,9.933333333,81.33333333,991,0.6
26/11/2019 04:30,0.056,0.01,,,,,59.9,20.07,,,39.39,23.19,,,62.6,20.27,166.6666667,2.533333333,0,9.833333333,81.66666667,991,0.6
26/11/2019 05:00,0.044,0,,,,,59.8,19.97,,,39.39,23.15,,,62.7,20.14,136.6666667,2.133333333,0,9.5,83.33333333,991,0.6
26/11/2019 05:30,0.197,0.44,,,,,58.8,20.42,,,39.4,23.09,,,61.8,20.37,114.6666667,2.233333333,0,9.333333333,84,990,0.6
26/11/2019 06:00,0.091,0.3,,,,,57.5,21.63,,,39.44,23.05,,,62.4,20.46,126,2.7,0.033333333,9.133333333,86.33333333,990,0.2
26/11/2019 06:30,0.054,0,,,,,57.8,21.45,,,39.44,23.01,,,62.3,20.32,124.6666667,2.4,0.033333333,9.033333333,88.66666667,989.3333333,0.2
26/11/2019 07:00,0.047,0,,,,,57.9,21,,,39.43,22.96,,,62.6,20.19,119.6666667,3.133333333,0,9,89,989,0
26/11/2019 07:30,0.048,0,,,,,58.2,20.6,,,39.43,22.95,,,62.5,20.1,110.3333333,3.233333333,0,8.933333333,89,988.3333333,0.2
26/11/2019 08:00,0.046,0,,,,,58.4,20.32,,,39.42,22.98,,,62.2,20,112.3333333,3.466666667,0,8.9,88.33333333,988,0.6
26/11/2019 08:30,0.055,0,,,,,58.3,20.1,,,,,,,61.9,19.91,116,4.7,0,8.966666667,87.33333333,988,1.4
26/11/2019 09:00,0.055,0,,,,,58.2,19.96,,,39.42,23.01,,,61.6,19.78,123.6666667,4.333333333,0,8.8,88.66666667,987,9.233333333
26/11/2019 09:30,0.042,0.01,,,,,58.1,19.82,,,39.41,23.11,,,61.9,19.62,108.6666667,3.833333333,0,8.8,89.66666667,986.3333333,17.86666667
26/11/2019 10:00,0.053,0,,,,,58.2,19.69,,,39.47,23.18,,,61.8,19.49,111.3333333,3.3,0,9.1,89,986,25.46666667
26/11/2019 10:30,0.044,0,,,,,58.4,19.59,,,39.45,23.25,,,61.6,19.46,113,3.1,0,9.566666667,88,985.3333333,81.06666667
26/11/2019 11:00,0.228,0.18,,,,,58.2,19.54,,,39.49,23.31,,,59.1,19.57,115,4.8,0,10.16666667,86,985,82.9
