,Elec kWh,Gas m3,bath_hum,bath_temp,hall_hum,hall_temp,kit_hum,kit_temp,leftbed_hum,leftbed_temp,liv_hum,liv_temp,rightbed_hum,rightbed_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
01/12/2019 00:00,0.203,0,52.4,19.83,57,17.72,45.3,22.39,56,18.5,50,20.44,53.1,18.93,71.33333333,2.233333333,0,1.566666667,89.33333333,1020,
01/12/2019 00:30,0.193,0,51,20.06,56.4,17.91,44.7,22.88,55.2,18.67,49,20.99,52.5,19.1,78.66666667,1.733333333,0,1.5,89,1020,
01/12/2019 01:00,0.192,0,50.4,20.3,55.9,18.14,43.8,23.3,54.7,18.86,48.5,21.52,52.3,19.23,52.66666667,2.166666667,0,1.333333333,90,1020,0
01/12/2019 01:30,0.162,0,50.6,19.96,53.6,18.16,42.7,23,54.5,18.85,47.3,21.91,52.8,18.75,54,1.6,0,1.2,90,1020,
01/12/2019 02:00,0.153,0,53.5,18.54,52.8,17.81,43.9,21.77,53.9,18.44,46.8,21.86,52.9,18.3,48,2.466666667,0,1.666666667,89,1020,
01/12/2019 02:30,0.151,0,54.8,17.71,51.6,17.54,45.6,20.38,53.2,18.07,46.6,21.01,52.2,17.96,56.66666667,2.266666667,0,1.8,87,1020,
01/12/2019 03:00,0.151,0,55.5,17.09,51.9,17.32,46.9,19.43,52.6,17.84,46.7,20.45,51.8,17.71,56,1.766666667,0,1.666666667,87,1020,
01/12/2019 03:30,0.15,0,55.9,16.65,50.7,17.34,47,18.78,52.6,17.52,46.5,20,51.4,17.49,81.66666667,1,0,1.6,86.66666667,1020,0
01/12/2019 04:00,0.153,0,56.2,16.28,51.1,16.98,47.6,18.41,52.1,17.3,46.2,19.45,51.2,17.3,84.66666667,0.6,0,1.033333333,87.66666667,1020,0.2
01/12/2019 04:30,0.157,0,56.4,16,50.95,16.58,47.9,18.15,52.1,17.08,46.4,19.11,50.9,17.1,123.3333333,0.533333333,0,1.066666667,87.66666667,1020,0
01/12/2019 05:00,0.156,0,56.3,15.73,,,47.8,17.92,51.8,16.89,46.35,18.665,50.5,16.96,284,0.733333333,0,0.3,88.66666667,1020,0
01/12/2019 05:30,0.156,0,56.5,15.49,51,16.31,48.4,17.69,51.7,16.7,46.4,18.23,50.5,16.8,328.6666667,0.766666667,0,-0.433333333,89.33333333,1020,0
01/12/2019 06:00,0.153,0,56.5,15.28,50.5,15.97,48.4,17.49,51.6,16.54,46.1,17.93,50.3,16.65,322.6666667,0.566666667,0,-0.6,90.66666667,1020.666667,0
01/12/2019 06:30,0.155,0,56.6,15.07,50.5,15.86,48.5,17.27,51.6,16.39,46.2,17.67,50.2,16.51,310,0.933333333,0,-0.666666667,91,1021,0.6
01/12/2019 07:00,0.154,0,56.6,14.88,51.6,16.04,48.3,17.16,51.4,16.26,46.2,17.44,50,16.35,306.6666667,0.866666667,0,-0.9,90.66666667,1021,0
01/12/2019 07:30,0.184,0,57,14.69,50.5,16.85,44.7,19.75,51.9,16.11,46.6,17.06,50.6,16.43,257,0.7,0,-1.266666667,91,1022,0.2
01/12/2019 08:00,0.258,0,51.2,17.25,50.4,17.3,33.06,20.31,50.5,17.03,46.7,17.91,49.1,17.5,302,0.8,0,-1.4,91.33333333,1022,48.23333333
01/12/2019 08:30,1.048,0,48.2,18.55,48.4,17.13,36.09,19.9,49.6,17.71,45.9,18.5,49,17.9,312.6666667,0.933333333,0,-1.3,91,1022,100.5666667
01/12/2019 09:00,1.007,0,49,17.99,46.9,16.85,41.7,18.42,50.6,17.45,39,17.47,49.8,17.38,318,0.766666667,0,-1.033333333,91,1022.666667,85.8
01/12/2019 09:30,0.775,0,51.6,16.76,45.8,16.64,41.4,17.56,49.9,17.1,43.5,16.78,49.4,17.04,329.6666667,0.733333333,0,-0.366666667,90.66666667,1023,281.8
01/12/2019 10:00,0.334,0,52.7,16.03,48.4,16.49,51.8,17.05,49.7,16.81,41.2,17,48.8,16.81,186.6666667,0.833333333,0,0.966666667,88,1023,665.8333333
01/12/2019 10:30,1.437,0,53.6,15.54,52.4,16.31,56.1,16.78,49.7,16.56,47.8,16.79,48.9,16.61,127.3333333,0.533333333,0,2.3,80.66666667,1023,734.6
01/12/2019 11:00,1.032,0,54.6,15.23,51.1,16.17,53.6,16.65,50.8,16.35,57.6,16.6,50.05,16.4,207.3333333,0.4,0.033333333,4.066666667,74,1023,771.5333333
01/12/2019 11:30,1.318,0,55.8,15.03,49.2,16.06,50.6,16.41,51.5,16.21,53.8,16.07,,,160.3333333,0.466666667,0,4.433333333,73.33333333,1023,778.5333333
01/12/2019 12:00,0.823,0,56.8,14.89,52.2,15.95,,,51.9,16.12,44.7,15.99,50.3,16.36,135,0.233333333,0,5.5,70,1023,771.9666667
01/12/2019 12:30,1.619,0,56.7,14.81,54,15.84,50,16.23,51.9,16.07,55.8,16.03,,,168.3333333,0.333333333,0,5.533333333,68.33333333,1023,738.7
01/12/2019 13:00,1.089,0,57.8,14.81,50.8,15.76,51.9,16.58,53,16,55.8,16.58,51.1,16.45,252.3333333,0.633333333,0,6.1,65.33333333,1023,691.9
01/12/2019 13:30,0.862,0,60,15.02,54.2,15.7,53,16.44,54.2,16.17,44.5,16.67,51.1,16.78,311,2.2,0,5.866666667,68.33333333,1023.333333,626.0333333
01/12/2019 14:00,0.733,0,59,14.82,54.5,15.56,53.5,16.47,54,16.1,55.5,16.44,51.9,16.49,306,2.1,0,5.133333333,68.33333333,1024,514.1333333
01/12/2019 14:30,0.15,0,59.2,14.87,54.2,15.39,52.9,16.48,54.2,16.16,52.7,16.59,52.2,16.26,327.3333333,1.733333333,0,5.2,67.33333333,1024,305.2
01/12/2019 15:00,0.14,0,59.5,14.8,54.2,15.41,50.8,16.36,54.1,16.08,51.4,16.53,52.6,16.1,326.6666667,1.633333333,0,4.866666667,68,1024,178.5666667
01/12/2019 15:30,0.137,0,59.3,14.76,53.3,15.52,51.7,16.17,54.6,15.98,50.9,16.33,52.3,15.97,313,1.733333333,0,4.3,72,1024,76.93333333
01/12/2019 16:00,0.885,0,58.8,14.69,52.8,15.22,53.5,16.17,54.1,15.85,52.1,16,52.7,15.8,311,1.733333333,0,3.8,75,1024.333333,3.7
01/12/2019 16:30,2.832,0,58.5,14.59,53,15.14,51.6,16.06,54.2,15.68,49.4,15.77,60.7,15.87,310.6666667,1.833333333,0,3.533333333,77.33333333,1024,0.2
01/12/2019 17:00,0.182,0,98.7,17.87,55.8,15.29,55.5,16.04,64.5,15.98,51.4,15.49,60,15.74,320.3333333,1.2,0,3.333333333,77.66666667,1024,0
01/12/2019 17:30,0.146,0,99.9,15.74,55.1,15.03,56.8,15.99,62.6,15.85,53.3,15.53,59.4,15.61,335.6666667,1.266666667,0,3.2,76.66666667,1024.666667,0.2
01/12/2019 18:00,0.152,0,89.6,15.02,54.3,14.81,56.4,15.95,62.2,15.69,53.2,15.55,58.2,15.47,329,1.333333333,0,2.5,78.66666667,1025,0.2
01/12/2019 18:30,0.16,0,79.3,14.65,54.6,14.72,55.9,15.92,62.2,15.53,53.2,15.54,57.8,15.35,317.3333333,1.2,0,2.633333333,78,1025,0.4
01/12/2019 19:00,0.163,0,71.6,14.39,54.9,14.65,56.9,15.71,60.5,15.39,53.3,15.52,57.2,15.26,311.6666667,1.633333333,0,1.6,82.66666667,1025,0
01/12/2019 19:30,0.164,0,68.2,14.27,54.9,14.51,57.6,15.51,59.2,15.29,54.2,15.57,56.9,15.21,313.6666667,0.766666667,0,1.033333333,85,1025,0
01/12/2019 20:00,0.169,0,65.8,14.13,54.6,14.49,57.4,15.34,58.8,15.2,52.7,15.45,56.7,15.21,310.3333333,1.266666667,0,0.633333333,86,1026,0
01/12/2019 20:30,0.115,0,64.7,14.01,54.5,14.44,57.1,15.23,57.8,15.11,52.6,15.37,57.2,15.42,281.3333333,1,0,0.066666667,87.33333333,1026,0
01/12/2019 21:00,0.082,0,64.9,13.99,53.8,14.3,56.5,15.12,58.2,15.02,51,15.09,56.9,15.5,300.6666667,0.866666667,0,0.033333333,88,1026,0
01/12/2019 21:30,0.082,0,65.25,13.825,52.3,14.2,,,58.4,14.9,49.6,14.85,55.9,15.5,225.6666667,0.866666667,0,-0.233333333,88,1026,
01/12/2019 22:00,0.09,0,64.8,13.71,50.6,14.07,55.8,14.97,58.9,14.82,48.5,14.64,,,312.6666667,0.666666667,0,-0.633333333,88,1026,0
01/12/2019 22:30,0.087,0,64.6,13.61,50,13.99,54.5,14.67,58.7,14.76,47.9,14.47,55.7,15.39,317,1.5,0,-0.633333333,85.33333333,1026,0
01/12/2019 23:00,0.128,0,88,13.8,49.8,13.96,54,14.59,58.4,14.64,47.2,14.3,56.1,15.45,306,1.4,0,-0.6,83.66666667,1026.666667,0.4
01/12/2019 23:30,0.174,0,80.6,17.37,57.6,14.6,49.4,17.04,57.9,14.65,47.3,14.22,59.8,16.47,300.3333333,0.833333333,0,-0.666666667,84,1027,0.3
02/12/2019 00:00,0.216,0,59.9,18.08,57.6,14.99,43.8,18.07,70,15.56,45.6,16.64,57.2,16.57,300.3333333,0.566666667,0,-0.633333333,84,1027,0
02/12/2019 00:30,0.17,0,60.4,16.32,54.4,14.93,46.5,17.84,61.8,16.05,45.1,17.91,56.2,16.05,218.6666667,0.666666667,0,-0.766666667,84,1027,0
02/12/2019 01:00,0.113,0,61.3,15.22,52.7,14.85,48.3,16.97,59.4,15.77,45.6,17.28,56.1,15.8,242.3333333,1.333333333,0,-0.833333333,85,1027,0
02/12/2019 01:30,0.082,0,62.4,14.63,51.8,14.76,49.5,16.12,57.8,15.44,45.9,16.63,55.6,15.58,279.3333333,0.766666667,0,-0.133333333,84,1027,0
02/12/2019 02:00,0.066,0,62.8,14.23,51.5,14.66,50.3,15.54,57.2,15.2,44.9,16.03,55,15.38,293,0.966666667,0,-0.233333333,85,1027,0
02/12/2019 02:30,0.048,0,62.4,13.95,51.1,14.58,50.9,15.19,57.1,14.99,44.4,15.65,54.6,15.17,329.3333333,1.4,0,-0.2,83.66666667,1027,0.6
02/12/2019 03:00,0.05,0,62.1,13.73,50.8,14.45,50.8,14.94,56.9,14.84,44.3,15.36,54.2,15.01,261.3333333,0.466666667,0,-0.933333333,82.66666667,1027,0
02/12/2019 03:30,0.053,0,62.2,13.55,50.8,14.34,50.9,14.74,56.55,14.605,44.3,15.09,54,14.88,229.6666667,0.8,0,-0.7,86.66666667,1027,0.6
02/12/2019 04:00,0.052,0,62.5,13.38,51.1,14.24,51.1,14.5,56.6,14.43,44.3,14.88,54.2,14.77,230.3333333,0.733333333,0,0.033333333,87.33333333,1027,0.2
02/12/2019 04:30,0.049,0,62.4,13.25,,,51.1,14.32,56.3,14.32,44.8,14.71,53.9,14.66,198,0.8,0,0.133333333,88,1027,0.6
02/12/2019 05:00,0.048,0,62.4,13.11,51,14.14,51.4,14.19,56.4,14.21,45,14.57,53.9,14.54,157,0.5,0,0.166666667,88.66666667,1027,0.6
02/12/2019 05:30,0.051,0,62.2,12.98,51.4,13.93,,,56.1,14.1,45.4,14.41,53.8,14.45,122.3333333,1.166666667,0,-0.066666667,88.33333333,1027,0.4
