,Elec kWh,Gas m3,bath_hum,bath_temp,hall_hum,hall_temp,kit_hum,kit_temp,liv_hum,liv_temp,masterbed_hum,masterbed_temp,mediumbed_hum,mediumbed_temp,smallbed_hum,smallbed_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
08/02/2020 00:00,0.003,0,77.2,9.35,,,74.6,10.04,77.4,9.76,77.8,9.62,78.6,9.82,82.6,9.21,177.3333333,5.433333333,0,9.766666667,80.33333333,1001,0.6
08/02/2020 00:30,0,0.02,77.2,9.4,,,74.8,10.03,77.5,9.77,77.7,9.61,,,82.4,9.24,205.6666667,2.633333333,0,9.266666667,84.66666667,1001,0
08/02/2020 01:00,0,0,77.2,9.42,,,74.8,10.03,,,77.6,9.62,78.5,9.82,82.3,9.25,199,2.033333333,0,9.066666667,82.66666667,1001,
08/02/2020 01:30,0.004,0.01,77.2,9.45,,,74.9,10.04,77.7,9.76,77.6,9.61,78.3,9.83,82.2,9.25,213,3.766666667,0,9.5,71,1001.666667,
08/02/2020 02:00,0,0,,,,,74.8,10.03,77.7,9.77,77.5,9.63,78.2,9.84,82.1,9.24,222,3.5,0,9.3,65.66666667,1002.333333,0
08/02/2020 02:30,0,0,77.2,9.42,,,74.5,10.02,77.5,9.75,77.4,9.62,78,9.85,82,9.21,219.3333333,4.766666667,0,8.8,63.33333333,1003,0.2
08/02/2020 03:00,0.003,0.02,76.8,9.38,,,74.3,10.02,77.1,9.74,77.3,9.61,77.8,9.82,81.9,9.18,225,3.866666667,0,8.433333333,65.66666667,1003,0.2
08/02/2020 03:30,0,0,76.7,9.37,,,74,10.02,76.9,9.74,77.1,9.58,77.7,9.81,81.8,9.14,242,3.866666667,0,8.1,67,1003.666667,0
08/02/2020 04:00,0.002,0,76.7,9.34,,,73.9,10.01,76.6,9.73,77.1,9.58,77.6,9.79,81.6,9.12,249.6666667,4.833333333,0,7.833333333,67.33333333,1004,0
08/02/2020 04:30,0.004,0.01,76.6,9.3,,,73.8,10,,,77,9.55,77.5,9.76,81.5,9.1,258,2.733333333,0,7.233333333,67.66666667,1005,
08/02/2020 05:00,0,0,76.6,9.26,,,73.6,9.98,76.5,9.73,76.9,9.52,77.4,9.74,81.5,9.07,257,3.033333333,0,6.766666667,67,1005,
08/02/2020 05:30,0.004,0,,,,,73.4,9.97,76.1,9.69,76.8,9.48,77.3,9.7,81.5,9.02,239.3333333,3.366666667,0,6.5,67.66666667,1005,
08/02/2020 06:00,0.001,0.02,76.6,9.21,,,73.3,9.97,76,9.69,76.8,9.45,77.2,9.66,81.4,8.97,221,2.466666667,0,6.133333333,70.33333333,1005,
08/02/2020 06:30,0,0,76.4,9.13,,,73.1,9.95,75.9,9.69,76.8,9.4,77.2,9.62,81.4,8.93,211.6666667,2.2,0,5.633333333,72.66666667,1005.666667,0
08/02/2020 07:00,0.003,0.01,76.3,9.09,,,72.9,9.96,75.9,9.68,76.8,9.35,77.1,9.6,81.3,8.9,215.3333333,2.2,0,5.5,74,1006,0
08/02/2020 07:30,0,0,76.3,9.06,,,72.7,9.93,,,76.8,9.32,77.1,9.56,81.3,8.86,196,2.3,0,5.6,73.33333333,1006.666667,1.433333333
08/02/2020 08:00,0,0,76.1,9.02,,,72.5,9.93,75.7,9.66,76.7,9.29,77.1,9.53,81.3,8.82,116.6666667,1.7,0,5.333333333,74,1007,11.9
08/02/2020 08:30,0.003,0.02,75.8,8.97,,,72.2,9.9,75.7,9.64,76.7,9.26,,,81.2,8.8,174,3,0,5.633333333,72,1007,26.06666667
