,Elec kWh,Gas m3,backroom_hum,backroom_temp,bath_hum,bath_temp,kit_hum,kit_temp,liv_hum,liv_temp,masterbed_hum,masterbed_temp,mediumbed_hum,mediumbed_temp,smallbed_hum,smallbed_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
20/12/2019 00:00,0.124,0,77.2,12.63,77.1,12.2,69.1,13.01,73.7,12.37,76,12.14,76,11.94,,,129.3333333,2.7,0,8.866666667,83,978.6666667,0.2
20/12/2019 00:30,0.124,0,76.8,12.59,76.4,12.18,69.6,12.92,74.6,12.35,76,12.14,75.7,11.94,,,133,3.033333333,0,8.9,83.33333333,978,0.6
20/12/2019 01:00,0.108,0,76.5,12.58,76,12.18,70.4,12.9,75.2,12.33,76,12.12,75,11.97,,,131.3333333,3.433333333,0,8.966666667,83,978,0
20/12/2019 01:30,0.099,0,76.5,12.54,75.6,12.17,70.4,12.83,,,76,12.11,74.8,11.96,,,142,3.7,0,8.833333333,83.33333333,977,0
20/12/2019 02:00,0.062,0,76.6,12.51,75.2,12.19,70,12.76,74.6,12.31,75.7,12.05,74.1,11.95,,,135.3333333,3.5,0,8.9,82,977,0.4
20/12/2019 02:30,0.036,0,76.9,12.42,75.2,12.19,70,12.75,74.2,12.26,75.5,12.01,73.9,11.96,,,138.6666667,4.933333333,0,8.8,82,977,0.6
20/12/2019 03:00,0.044,0,77.3,12.33,75.3,12.22,72.4,12.68,73.4,12.25,75.4,11.9,75,11.94,,,145.3333333,3.433333333,0,8.9,82,977,0.6
20/12/2019 03:30,0.041,0,77.9,12.3,75.4,12.22,73.6,12.64,73.8,12.22,75.6,11.83,75,11.93,,,154.6666667,3.033333333,0,8.866666667,82.66666667,976,0.6
20/12/2019 04:00,0.036,0,77.6,12.3,75.4,12.23,69.8,12.62,74.7,12.23,75.6,11.8,74.8,11.92,,,156,1.866666667,0,8.9,83,976,0.6
20/12/2019 04:30,0.042,0,78.2,12.24,75.2,12.23,73,12.6,75.3,12.23,75.7,11.77,74.7,11.92,,,162.3333333,2.9,0,8.9,83,975.6666667,0.6
20/12/2019 05:00,0.044,0,79.3,12.25,75.2,12.24,74.4,12.56,,,75.6,11.75,74.9,11.92,,,146.3333333,2.433333333,0,8.766666667,84,975,0.6
20/12/2019 05:30,0.035,0,79.2,12.25,75,12.24,72.1,12.56,75.5,12.23,75.4,11.77,75,11.91,,,138,1.933333333,0,8.666666667,85,975,0.6
