,Elec kWh,Gas m3,bath_hum,bath_temp,dining_hum,dining_temp,frontbed_hum,frontbed_temp,hall_hum,hall_temp,kit_hum,kit_temp,liv_hum,liv_temp,masterbed_hum,masterbed_temp,rearbed_hum,rearbed_temp,Wind direction (from N),Windspeed (m/s),Rainfall (mm),Air temp (degC),RH (%),Atmos press (hPa),Solar_vert_south (W/m2)
27/02/2020 00:00,0.14,0.15,60.9,15.15,,,,,,,46.9,18.49,48.8,19.85,50,16.96,58.85,15.745,202.6666667,1.8,0,4.1,76.33333333,996,0.6
27/02/2020 00:30,0.162,0,61.5,14.88,,,63.4,13.6,,,48.6,17.95,51.3,19.75,50.5,16.65,59.1,15.48,195.6666667,2.066666667,0,4,78.66666667,996,0.6
27/02/2020 01:00,0.084,0.01,61.7,14.74,,,63.3,13.47,,,50.6,17.31,53.2,19.11,50.9,16.27,59.1,15.33,190,2.266666667,0,4,79,995.6666667,0
27/02/2020 01:30,0.08,0.03,61.1,14.69,,,63.5,13.42,,,51.1,16.88,54.5,18.63,51.2,16.02,59.2,15.31,188.3333333,2.066666667,0,3.966666667,79.33333333,995,0.6
27/02/2020 02:00,0.069,0.04,61,14.64,,,63.3,13.35,,,50.65,16.56,56.6,18.43,51.4,15.88,59,15.19,202,2.566666667,0,3.733333333,82,995,0
27/02/2020 02:30,0.057,0.06,61.7,14.48,,,63.4,13.3,,,50.5,16.35,56.7,18.24,51.4,15.8,59.5,15.16,210.3333333,1.933333333,0,3.566666667,85.66666667,994,0.6
27/02/2020 03:00,0.042,0.05,62.1,14.33,,,63.4,13.24,,,50.4,16.25,56.1,18.04,51.5,15.73,59.8,15.11,198,1.6,0,3.466666667,86,994,0.6
27/02/2020 03:30,0.041,0.04,62.3,14.28,,,63.4,13.19,,,50.4,16.16,58,17.83,51.5,15.65,,,193.3333333,2.1,0,3.4,85.33333333,993.3333333,0.4
27/02/2020 04:00,0.04,0.05,62.3,14.21,,,63.6,13.15,,,50.4,16.11,56.7,17.71,51.6,15.6,59.4,15.06,226.3333333,0.533333333,0,3.2,86.33333333,993,0.4
27/02/2020 04:30,0.044,0.07,62.6,14.17,,,63.6,13.13,,,50.5,16.07,56.3,17.55,51.5,15.55,60.3,14.99,271.3333333,2.1,0,2.866666667,87,993,0.6
27/02/2020 05:00,0.045,0.08,62.9,14.14,,,,,,,50.4,16.06,55.7,17.57,51.5,15.57,60.6,14.98,281.3333333,1.166666667,0,2.333333333,87.66666667,993,0.6
27/02/2020 05:30,0.047,0.03,,,,,,,,,,,56.2,17.46,51.3,15.52,60.6,14.91,251,0.633333333,0,2.066666667,88.66666667,993,0.6
