All double glazed uPVC,,Height x Width (metres),,,,,,,,,,,,,,
HouseID,Front door orientation (degrees from north),Hall,Living,Kitchen,Dining,Bed1 (Master),Bed2,Bed3,Bed4,Bathroom,Landing,WC,Front porch,Rear porch,Utility room,Pantry
HH01,200,1 x 0.81,1.14 x 2.38,1 x 1.65,,1.17 x 1.46,1.77 x 1,,,0.87 x 0.85,0.8 x 1.75,0.55 x 0.53,,,,
HH02,180,,1.78 x 1.35,0.9 x 0.93,,1.10 x 1.04; 1.10 x 1.04,1.79 x 1.05,,,1 x 0.9,,,,,,
HH03,192,0.6 x 1.5,1.8 x 1.3; 1.35 x 1.3,1.2 x 1.1,,1.8 x 1.1,1.7 x 1.1,,,0.6 x 1.1,0.6 x 1.5,1.5 x 0.6,,,,
HH04,10,1.07 x 1.29,1.78 x 1.37,1.78 x 1.01,,1.78 x 1.04,,,,1.19 x 1.01,,,1.07 x 1,1.78 x 1,,
HH05,0,0.65 x 0.92,2.1 x 1.62,1.02 x 1.23; 0.68 x 0.85,,2.1 x 1.31,1.09 x 1.3,1.59 x 1.28,,0.57 x 0.9,0.64 x 1.31,,,,,
HH06,120,0.8 x 2.05,1.35 x 1.18,1.35 x 1.17,1.81 x 1.18,1.35 x 1.18,1.35 x 1.17,0.89 x 1.2,,0.89 x 1.16,0.89 x 1.19,,,,,
HH07,100,,1.79 x 1.2,1.79 x 1.04,,1.81 x 1.2,,,,1.21 x 1.03,,,0.65 * 0.65,,,
HH08,0,,1.97 x 1.2,1.46 x 0.91,,1.96 x 1.19,1.97 x 1.19,1.45 x 1.21,,0.96 x 1.22,0.97 x 1.19,,,,0.79 x 1,
HH09,240,,2.36 x 1.2,1.21 x 0.88,,2.36 x 1.19,,,,0.89 x 0.9,,,,,,
HH10,70,0.64 x 0.88,1.78 x 1.16; 1.79 x 1.98,1.17 x 0.85,,1.8 x 0.88,1.79 x 0.87,,,1.18 x 0.88,0.86 x 1.2,,,,,
HH11,80,0.65 x 0.65,1.27 x 1.74,2.23 x 1.18,,1.65 x 1,1.12 x 1,1.12 x 1,,0.98 x 0.84,,,,,,
HH12,290,,1.78 x 1.36,1.19 x 1,,1.77 x 1.35,,,,1.2 x 1.03,,,,,,
HH13,171,,2.37 x 1.18,1.16 x 0.86,,2.35 x 1.02,,,,0.88 x 0.88,,,,,,
HH14,198,,1.74 x 1.14,1.74 x 0.97,,1.10 x 1.04; 1.10 x 1.04,1.04 x 1.10,,,0.55 x 0.83; 0.55 x 0.83,,,,,,
HH15,280,,1.8 x 1.13,1.16 x 0.88,1.78 x 2.1,1.8 x 0.82,1.8 x 0.88,1.19 x 0.83,,1.19 x 0.86; 0.58 x 0.86,0.59 x 0.86,,,,,
HH16,25,,1.45 x 0.6; 1.15 x 1.77,1.19 x 1; 1.17 x 1.16,,0.87 x 0.98; 1.77 x 0.98,1.77 x 1,,,0.86 x 0.56; 0.74 x 0.56,,,,,,
HH17,110,,2.38 x 1.37,1.79 x 1.02,,2.37 x 1.04,1.77 x 1.05,,,1.19 x 1.04,1.19 x 1.05,,,,,
HH18,320,,2.36 x 1.2,1.02 x 1.03,,2.36 x 1.19,,,,0.89 x 0.9,,,,,,
HH19,200,,2.36 x 1.37,1.79 x 1.02,,2.37 x 1.04,1.77 x 1.05,,,1.19 x 1.04,1.19 x 1.05,,,,,
HH20,300,0.61 x 0.89,2.07 x 1.57,0.68 x 1.02; 1.23 x 1.02,,2.07 x 1.28,1.06 x 1.28,1.55 x 1.27,,0.62 x 1.21,0.66 x 1.27,,,,,
HH21,190,0.5 x 0.8,2.03 x 1.57,1.8 x 1,,1.98 x 1.23,0.98 x 1.25,1.04 x 1.25,1.79 x 1.03,,0.6 x 1.24,,,,,0.3 x 0.62
HH22,110,0.92 x 1.19,0.59 x 0.74; 1.79 x 1.5,0.61 x 1.03,,1.78 x 1.18,1.77 x 1.17,,,0.61 x 1.19,1.19 x 1.19,,,,,
HH23,113,0.6 x 2.14,1.78 x 1.5; 1.78 x 1.5,1.17 x 1.06,,1.77 x 1.18,1.19 x 1.2,1.19 x 1.19,,0.6 x 1.17,,0.59 x 1.19,,,,
HH24,203,,2.2 x 1.36,1.12 x 1.03; 0.57 x 1.03,,1.66 x 1.19,,,,0.58 x 1.01,,,,,,
HH25,42,0.61 x 0.89,2.07 x 1.57,1.23 x 1.02; 0.68 x 0.98,,2.07 x 1.28,1.55 x 1.27,,,1.06 x 1.28,0.66 x 1.27,,,,0.62 x 1.21,
HH26,190,0.64 x 0.97,2.09 x 1.63,1.14 x 1.18; 1.03 x 0.7,,2.07 x 1.29,1.07 x 1.29,1.08 x 1.3,,0.87 x 0.95,,,,,,
HH27,295,,1.78 x 1.49; 1.78 x 1.49,1.17 x 1.03,,1.79 x 1.18,1.87 x 1.19,1.18 x 1.19,,1.17 x 1.18,,,,,,
HH28,235,,1.66 x 1.19,1.11 x 1.18; 1.16 x 1.03,,1.65 x 1; 0.8 x 1,1.66 x 1,,,1.13 x 0.68,,,,,,
HH29,350,,1.8 x 1.13,1.16 x 0.88,1.8 x 1.13,1.8 x 0.82,1.8 x 0.88,1.19 x 0.83,,1.19 x 0.86; 0.58 x 0.86,0.59 x 0.86,,,,,
HH30,280,,1.8 x 1.13,1.16 x 0.88,1.8 x 1.13,1.8 x 0.82,1.8 x 0.88,1.19 x 0.83,,1.19 x 0.86; 0.58 x 0.86,0.59 x 0.86,,,,,
