LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
05a4e13c8f8892b40f457e58195271839c253e738b2a4a3fe98ce9f45880695f,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
05a4e13c8f8892b40f457e58195271839c253e738b2a4a3fe98ce9f45880695f,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
104aed0a570454905c714411fff45406314dbb0cdcbf92eedea9999a868ddd0d,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
104aed0a570454905c714411fff45406314dbb0cdcbf92eedea9999a868ddd0d,2,Draught proofing,Draught proofing,10.0,,£150 - £250
104aed0a570454905c714411fff45406314dbb0cdcbf92eedea9999a868ddd0d,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
1258fcc072a4e3fcfd2d4eea98fdb918ed8e97649eecc4a34595723126930f7c,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
1399ea20d4fc3b047cf1e06ca9a65fbfa0dec5e1f05794fe5c8b01a495a92862,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
1399ea20d4fc3b047cf1e06ca9a65fbfa0dec5e1f05794fe5c8b01a495a92862,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£5,000 - £10,000"
392f1eb690b8705c90d741fbed8200b5fe4029ed0f02e3ecba8ad7bcb44ed24a,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
392f1eb690b8705c90d741fbed8200b5fe4029ed0f02e3ecba8ad7bcb44ed24a,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
4c41c08c0818d28a574fd6e8b37c69a73b95e3dcbe77d6a87f306001af244690,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
4f6a1ea1971053f47264679f73fa18bc74eb0452a640b4efdd0c377449fd7128,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
4f6a1ea1971053f47264679f73fa18bc74eb0452a640b4efdd0c377449fd7128,2,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3.0,,£20 - £40
5d09e292ce526a701a9aff8b73b15fe9275a0083d27838ea10c0b38ffcdf2c9d,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,2,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,3,Draught proofing,Draught proofing,10.0,,£150 - £250
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,5,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£8,000 - £10,000"
5fe1cab5602d7a627643d6266914b82fbfbc19af7471fad55a0da55ff0b4620f,6,Wind turbine,Wind turbine,44.0,,"£5,000 - £20,000"
605e52cba4605c17df08fdfd84df3a725bf0f37d4da57c1962a306736edd06ba,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
605e52cba4605c17df08fdfd84df3a725bf0f37d4da57c1962a306736edd06ba,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£5,000 - £10,000"
605e52cba4605c17df08fdfd84df3a725bf0f37d4da57c1962a306736edd06ba,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£90 - £105
605e52cba4605c17df08fdfd84df3a725bf0f37d4da57c1962a306736edd06ba,4,High heat retention storage heaters,High heat retention storage heaters,60.0,,"£1,200 - £2,400"
605e52cba4605c17df08fdfd84df3a725bf0f37d4da57c1962a306736edd06ba,5,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49.0,,"£600 - £1,500"
6674e8f14b25df0be0e16db6327d7e7af6d03e8066cac4a44a1fd085bea5b683,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
6674e8f14b25df0be0e16db6327d7e7af6d03e8066cac4a44a1fd085bea5b683,2,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£90 - £105
6955072aa3c5a55f56aac051250f3c348aaaeb9a2ba069bc252b4f79c40d82ba,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
6955072aa3c5a55f56aac051250f3c348aaaeb9a2ba069bc252b4f79c40d82ba,2,Draught proofing,Draught proofing,10.0,,£150 - £250
6955072aa3c5a55f56aac051250f3c348aaaeb9a2ba069bc252b4f79c40d82ba,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
71e7a85edabd61c991d17043aaa4d5a782d269aacb69c258d0b85b026d52509d,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
71e7a85edabd61c991d17043aaa4d5a782d269aacb69c258d0b85b026d52509d,2,Draught proofing,Draught proofing,10.0,,£150 - £250
71e7a85edabd61c991d17043aaa4d5a782d269aacb69c258d0b85b026d52509d,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
7d77390955412b8d68df2fe77059c1dcb1ffe7d8ae6fe678035e5d218db7ff9a,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
7d77390955412b8d68df2fe77059c1dcb1ffe7d8ae6fe678035e5d218db7ff9a,2,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
7eda902a620961801a5a0252215ea169acd70ee325b929607c8a0219f089074f,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
7eda902a620961801a5a0252215ea169acd70ee325b929607c8a0219f089074f,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
7eda902a620961801a5a0252215ea169acd70ee325b929607c8a0219f089074f,3,Draught proofing,Draught proofing,10.0,,£150 - £250
7eda902a620961801a5a0252215ea169acd70ee325b929607c8a0219f089074f,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
8749c8d0a3e13401f7a3c13a53dd1d67e9cb3aa8e4bfcfc8bbcb236fa9044a4f,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
8749c8d0a3e13401f7a3c13a53dd1d67e9cb3aa8e4bfcfc8bbcb236fa9044a4f,2,Draught proofing,Draught proofing,10.0,,£150 - £250
8749c8d0a3e13401f7a3c13a53dd1d67e9cb3aa8e4bfcfc8bbcb236fa9044a4f,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£300 - £350
8749c8d0a3e13401f7a3c13a53dd1d67e9cb3aa8e4bfcfc8bbcb236fa9044a4f,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
8749c8d0a3e13401f7a3c13a53dd1d67e9cb3aa8e4bfcfc8bbcb236fa9044a4f,5,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£8,000 - £10,000"
884db475c48f4052d4753da531358b320109f321f91500a067dcdf1d38eb87a0,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
884db475c48f4052d4753da531358b320109f321f91500a067dcdf1d38eb87a0,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
8f28b051f695c59c7503c09541e3cbf7d9b385ec4b3507330749104d9517b6f8,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
8f28b051f695c59c7503c09541e3cbf7d9b385ec4b3507330749104d9517b6f8,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
8f28b051f695c59c7503c09541e3cbf7d9b385ec4b3507330749104d9517b6f8,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
9e41a2cea09b84c44c62101e15461d94b64460821bb4af5240cb675780afe867,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
9e41a2cea09b84c44c62101e15461d94b64460821bb4af5240cb675780afe867,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
9e41a2cea09b84c44c62101e15461d94b64460821bb4af5240cb675780afe867,3,Draught proofing,Draught proofing,10.0,,£150 - £250
9e41a2cea09b84c44c62101e15461d94b64460821bb4af5240cb675780afe867,4,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£90 - £105
9e41a2cea09b84c44c62101e15461d94b64460821bb4af5240cb675780afe867,5,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
a50e666f67c108b39ff90788cc7aa4ebda8398e29d911d238635e6f8444e37ff,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
a50e666f67c108b39ff90788cc7aa4ebda8398e29d911d238635e6f8444e37ff,2,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
a50e666f67c108b39ff90788cc7aa4ebda8398e29d911d238635e6f8444e37ff,3,Draught proofing,Draught proofing,10.0,,£150 - £250
a50e666f67c108b39ff90788cc7aa4ebda8398e29d911d238635e6f8444e37ff,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
b07ba250aded3f629e2628bfadddf2bc6d69be44ddd6f8095a4279e8bff70366,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
b07ba250aded3f629e2628bfadddf2bc6d69be44ddd6f8095a4279e8bff70366,2,Draught proofing,Draught proofing,10.0,,£150 - £250
b07ba250aded3f629e2628bfadddf2bc6d69be44ddd6f8095a4279e8bff70366,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£120 - £140
b07ba250aded3f629e2628bfadddf2bc6d69be44ddd6f8095a4279e8bff70366,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
c9d2169ac3df493a49b2b6eb0cf63f322a1477327a048356da52078cbc2a7bdd,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5.0,,"£900 - £1,200"
c9d2169ac3df493a49b2b6eb0cf63f322a1477327a048356da52078cbc2a7bdd,2,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
c9d2169ac3df493a49b2b6eb0cf63f322a1477327a048356da52078cbc2a7bdd,3,Draught proofing,Draught proofing,10.0,,£150 - £250
c9d2169ac3df493a49b2b6eb0cf63f322a1477327a048356da52078cbc2a7bdd,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
cd6b15d0766cee8c873b270071faabf50d5faa559d88d9d9d0c280ab1ff1070e,1,Internal wall insulation,Internal wall insulation,7.0,,"£7,500 - £11,000"
cd6b15d0766cee8c873b270071faabf50d5faa559d88d9d9d0c280ab1ff1070e,2,Draught proofing,Draught proofing,10.0,,£150 - £250
