Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: billion m2
,Advanced economies,Emerging and developing economies,Energy intensity
2010,76.1,116.3,168.5
2011,77.3,120.0,163.2
2012,78.4,123.8,159.6
2013,79.6,127.6,160.3
2014,80.8,131.4,156.3
2015,82.0,135.3,153.8
2016,83.1,139.4,152.5
2017,84.3,143.5,151.8
2018,85.5,147.4,152.7
2019,86.6,151.1,149.7
2020,87.8,154.2,146.1
2021,88.9,159.2,146.6
2022,90.0,162.7,145.1
2023,0,0,
2024,0,0,
2025,0,0,
2026,0,0,
2027,0,0,
2028,0,0,
2029,0,0,
2030,98.6,192.3,96.2
